drug_name,reaction_name,count
CARBIDOPA AND LEVODOPA,Haemorrhage,1
CARBIDOPA AND LEVODOPA,Red blood cell count decreased,1
CARDIOASPIRIN,Asthenia,1
CARDIOASPIRIN,Duodenal ulcer,1
CARDIOASPIRIN,Gastritis erosive,1
CARDIOASPIRIN,Gastrointestinal haemorrhage,1
BUSULFEX,Infection,1
BUSULFEX,Lung disorder,1
DEPAKOTE,Platelet count decreased,1
DEPAKOTE,Postmature baby,1
DEPAKOTE ER,Off label use,1
DEPAKOTE,Stevens-Johnson syndrome,1
DEPAKOTE,Tardive dyskinesia,1
DEPAKOTE,Thought withdrawal,1
DEPAKOTE,Thrombocytopenia,1
DEPAKOTE,Tongue injury,1
DEPAKOTE,Tooth development disorder,1
DEPAKOTE,Toothache,1
DEPAKOTE,Trigeminal neuralgia,1
DEPAKOTE,Trismus,1
DEPAKOTE,Urinary incontinence,1
DEPAKOTE,Urticaria,1
DEPAKOTE,Visual impairment,1
DEPAKOTE,Paternal drugs affecting foetus,1
CANESTEN (KAINITING),Exposure during pregnancy,1
CAPTOPRIL SANDOZ,Allergic cough,1
DIANEAL LOW CALCIUM,Death,1
DIANEAL LOW CALCIUM,Dehydration,1
DIANEAL LOW CALCIUM,Diabetic complication,1
DIANEAL LOW CALCIUM,Diabetic ketoacidosis,1
DIANEAL LOW CALCIUM,Discomfort,1
DEPAKOTE,Wrong technique in drug usage process,1
DEPAKOTE ER,Agitation,1
DEPAKOTE ER,Anxiety,1
DEPAKOTE ER,Dizziness,1
DEPAKOTE ER,Drug dose omission,1
DEPAKOTE ER,Drug level decreased,1
DEPAKOTE ER,Eating disorder,1
DEPAKOTE ER,Fatigue,1
DEPAKOTE ER,Feeling abnormal,1
DEPAKOTE ER,Insomnia,1
DEPAKOTE ER,Malaise,1
DIANEAL LOW CALCIUM,Post procedural haemorrhage,1
DIANEAL LOW CALCIUM,Pulmonary haemorrhage,1
DIANEAL LOW CALCIUM,Pulmonary oedema,1
DIANEAL LOW CALCIUM,Rib fracture,1
DIANEAL LOW CALCIUM,Sepsis,1
DIANEAL LOW CALCIUM,Staphylococcal infection,1
DIANEAL LOW CALCIUM,Swelling,1
DEXAMETHASONE,Drug hypersensitivity,1
DEXTROAMPHETAMINE SULFATE,Coeliac disease,1
DIANEAL LOW CALCIUM,Abscess limb,1
DIANEAL LOW CALCIUM,Acidosis,1
DIANEAL LOW CALCIUM,Anaemia,1
DIANEAL LOW CALCIUM,Blindness unilateral,1
DIANEAL LOW CALCIUM,Calciphylaxis,1
DIANEAL LOW CALCIUM,Catheter site infection,1
DIANEAL LOW CALCIUM,Cerebrovascular accident,1
DIANEAL LOW CALCIUM (ULTRABAG),Peritonitis,1
DIANEAL LOW CALCIUM (ULTRABAG),Toothache,1
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Blood pressure diastolic increased,1
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Eye movement disorder,1
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Heart rate decreased,1
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Hypotension,1
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Pulse abnormal,1
DIANEAL PD2,Diarrhoea,1
DIANEAL PD2,Gastroenteritis viral,1
DIANEAL LOW CALCIUM,Failure to thrive,1
DIANEAL LOW CALCIUM,Gastrointestinal haemorrhage,1
DIANEAL LOW CALCIUM,Hypotension,1
DIANEAL LOW CALCIUM,Impaired healing,1
DIANEAL LOW CALCIUM,Localised infection,1
DIANEAL LOW CALCIUM,Myocardial infarction,1
DIANEAL LOW CALCIUM,Pancreatitis,1
DIANEAL PD4 SOLUTION WITH 15% DEXTROSE AND 25 MEQ/L CALCIUM,Pulmonary oedema,1
DIANEAL-N PD-4 15 PD SOLUTION,Sepsis,1
DIOVAN,Anxiety,1
DIOVAN,Blood glucose increased,1
DIOVAN,Bronchitis,1
DIOVAN,Cardiac disorder,1
DIOVAN,Cardiovascular disorder,1
DIOVAN,Chronic obstructive pulmonary disease,1
DIOVAN,Diabetes mellitus,1
DIOVAN,Dyspnoea,1
DIANEAL LOW CALCIUM,Tooth infection,1
DIANEAL LOW CALCIUM,Urinary tract infection,1
DIANEAL LOW CALCIUM,Wound,1
DIANEAL LOW CALCIUM (ULTRABAG),Headache,1
DIANEAL LOW CALCIUM (ULTRABAG),Myocardial infarction,1
DIANEAL LOW CALCIUM (ULTRABAG),Peritoneal dialysis complication,1
DIOVAN,Stress,1
DIOVAN,Urinary tract infection,1
DIOVAN HCT,Gastrointestinal stromal tumour,1
DIOVAN HCT,Hepatic neoplasm,1
DIOVAN HCT,Malaise,1
DIOVAN HCT,Wrong technique in drug usage process,1
DIVALPROEX SODIUM,Drug ineffective,1
DIVALPROEX SODIUM,Hospitalisation,1
DOCETAXEL (UNKNOWN),Anaemia,1
DONEPEZIL,Confusional state,1
DIANEAL PD2,Peritonitis bacterial,1
DIANEAL PD2 (ULTRABAG),Device malfunction,1
DIANEAL PD2 (ULTRABAG),Peritonitis,1
DIANEAL PD2 WITH 15% DEXTROSE,Death,1
DIANEAL PD2 WITH 15% DEXTROSE,Myocardial infarction,1
DIANEAL PD4 SOLUTION WITH 15% DEXTROSE AND 25 MEQ/L CALCIUM,Convulsion,1
DOXAZOSIN,Fall,1
DOXAZOSIN,Gait disturbance,1
DOXAZOSIN,Loss of proprioception,1
